Date/Time,Lat,Lon,Base,locationID
2014-04-01 09:06:00,40.736,-73.9978,B02682,
2014-04-19 15:48:00,40.7126,-74.0098,B02682,
2014-04-06 00:31:00,40.7298,-73.9829,B02598,
2014-04-30 16:05:00,40.7532,-73.9802,B02617,
2014-04-06 19:21:00,40.85,-73.9319,B02617,
2014-04-11 06:13:00,40.7395,-73.9998,B02598,
2014-04-17 15:53:00,40.7675,-73.9575,B02617,
2014-04-09 21:21:00,40.7571,-73.972,B02512,
2014-04-15 17:15:00,40.7738,-73.9597,B02682,
2014-04-05 05:19:00,40.7439,-73.9837,B02682,
2014-04-17 17:42:00,40.8532,-73.9313,B02598,
2014-04-30 09:40:00,40.7645,-73.9775,B02682,
2014-04-23 12:07:00,40.7567,-73.9743,B02617,
2014-04-23 20:21:00,40.7605,-73.9758,B02682,
2014-04-26 00:36:00,40.6835,-73.9075,B02598,
2014-04-03 18:02:00,40.7212,-74.0013,B02682,
2014-04-10 05:12:00,40.784,-73.9543,B02598,
2014-04-04 14:13:00,40.7276,-74.0056,B02617,
2014-04-11 20:49:00,40.6449,-73.7822,B02598,
2014-04-08 12:27:00,40.7739,-73.872,B02682,
2014-04-20 05:45:00,40.7002,-73.9949,B02598,
2014-04-12 14:50:00,40.6448,-73.7825,B02617,
2014-04-07 13:56:00,40.6921,-73.9533,B02598,
2014-04-26 21:12:00,40.7401,-74.0074,B02617,
2014-04-27 14:22:00,40.756,-73.9908,B02682,
2014-04-07 14:50:00,40.7284,-74.0071,B02617,
2014-04-06 08:29:00,40.7191,-73.9925,B02682,
2014-04-20 19:53:00,40.6834,-73.9321,B02617,
2014-04-23 07:38:00,40.711,-73.9617,B02682,
2014-04-26 22:45:00,40.6874,-73.9935,B02598,
2014-04-08 18:21:00,40.7083,-74.0111,B02682,
2014-04-21 15:12:00,40.7305,-74.009,B02682,
2014-04-23 15:40:00,40.7515,-74.0065,B02682,
2014-04-01 11:33:00,40.7472,-73.9856,B02598,
2014-04-25 22:04:00,40.7188,-73.9907,B02682,
2014-04-04 21:54:00,40.7595,-73.9813,B02617,
2014-04-27 18:45:00,40.7838,-73.9704,B02682,
2014-04-15 17:06:00,40.7749,-73.9487,B02617,
2014-04-21 18:06:00,40.7386,-73.9926,B02598,
2014-04-17 20:09:00,40.71,-74.0091,B02682,
2014-04-19 17:01:00,40.6933,-73.9996,B02512,
2014-04-19 20:48:00,40.7446,-73.991,B02598,
